model,observable,jewel,val,delta,delta_over_truth
OT-CFM seeded8_zero_thr0.5,mass,2.9265408515930176,3.1997077465057373,-0.2731668949127197,0.3969655519361055
OT-CFM seeded8_zero_thr0.5,n1,5.218303203582764,5.847875595092773,-0.6295723915100098,0.626041201888495
OT-CFM seeded8_zero_thr0.5,ptd,0.45002439618110657,0.4098382294178009,0.040186166763305664,0.8152857923682288
OT-CFM seeded8_zero_thr0.5,rg,0.2412115829875548,0.25950116390137445,-0.01828958091381966,0.6832908332155099
OT-CFM seeded8_zero_thr0.5,zg,0.227127672035356,0.23704370619255719,-0.009916034157201187,1.0398880554747758
OT-CFM seeded8_zero_thr0.5,zlead,0.3552524745464325,0.30657491087913513,0.04867756366729736,0.861226540795144
"cond. CFM, 1 sample",core,0.4350036680698395,0.4225306808948517,0.012472987174987793,0.6596112535677643
"cond. CFM, 1 sample",et,25.04559898376465,25.48792839050293,-0.44232940673828125,0.2708534802128445
"cond. CFM, 1 sample",girth,0.18502438068389893,0.1882917732000351,-0.0032673925161361694,0.6443007251912883
"cond. CFM, 1 sample",mass,3.8010056018829346,4.142842769622803,-0.34183716773986816,0.49675704666734577
"cond. CFM, 1 sample",n1,6.093739986419678,6.724618911743164,-0.6308789253234863,0.6273404075238231
"cond. CFM, 1 sample",ptd,0.41791754961013794,0.3834451138973236,0.03447243571281433,0.6993672034090964
"cond. CFM, 1 sample",rg,0.23635718126205862,0.2528673965373802,-0.016510215275321594,0.6168145024863727
"cond. CFM, 1 sample",zg,0.23097139128295266,0.24531547075848228,-0.014344079475529625,1.50425428925653
"cond. CFM, 1 sample",zlead,0.3269653618335724,0.2843359708786011,0.042629390954971313,0.7542194009397127
"cond. CFM, mean of 16",core,0.4323785901069641,0.42118752002716064,0.011191070079803467,0.591819398235779
"cond. CFM, mean of 16",et,25.001129150390625,25.344560623168945,-0.3434314727783203,0.21029488023994058
"cond. CFM, mean of 16",girth,0.1856115311384201,0.18853631615638733,-0.002924785017967224,0.5767415756749451
"cond. CFM, mean of 16",mass,3.88590407371521,4.220385551452637,-0.33448147773742676,0.48606777356702
