batch,repeat,plan,decode,plan_time,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal,partners,sb_err,plan_mass
1024,0,ot-sum,direct,0.19722525402903557,0.1085011214017868,894,0.21758798588785022,-26.17694522123742,12.74604513961365,10.030739390470082,445.2534290378339,,,
1024,0,ot-sum,mixture,0.19722525402903557,0.7114093899726868,894,0.9475204909276078,-1.7425521556162993,7.9391639099305715,7.818322079194043,8.362858503176662,,,
1024,1,random,direct,0.0,0.04627539590001106,886,0.10864218909204322,-29.44692964424667,9.563528327259542,7.437767144748244,-1048.0929560668233,,,
1024,1,random,mixture,0.0,0.697516918182373,886,0.998936749840216,-0.11423653135450375,12.689263839427515,12.478191822524243,13.521615547561616,,,
1024,1,ot,direct,0.26830654591321945,0.03950338810682297,886,0.09813354090812654,-29.763392905887574,9.683960780519918,7.2485974667424005,497.5064297445199,,,
1024,1,ot,mixture,0.26830654591321945,0.6896162629127502,886,0.927749412315093,-2.302188849610615,7.663966181374355,8.066188679349432,7.941080153598907,,,
1024,1,sb,direct,0.08422791212797165,0.03837471827864647,886,0.0974121337588448,-29.827033982589064,9.835867015647896,7.357220193737078,-473.9770287345436,1.682714264164125,0.0009521161555312574,0.9999858315560906
1024,1,sb,mixture,0.08422791212797165,0.6896162629127502,886,0.9273172310449084,-2.3401421273535044,7.511836947960246,7.939883034877904,7.860817297907908,1.682714264164125,0.0009521161555312574,0.9999858315560906
1024,1,ot-sum,direct,0.18725284188985825,0.1173814907670021,886,0.21853843610619353,-26.075512393064475,12.821158248854552,10.09984048231166,-136.89141766262702,,,
1024,1,ot-sum,mixture,0.18725284188985825,0.678329586982727,886,0.9426388315019468,-1.873725287263065,7.627184673179797,7.479870557961772,8.11905545272358,,,
1024,2,random,direct,0.0,0.04449388012290001,899,0.10365346455330804,-29.288495946381328,9.897563590603923,7.121140555685056,-329.3714519702404,,,
1024,2,random,mixture,0.0,0.676306962966919,899,0.9735121609617007,-0.857437863631031,12.665875606533863,12.429420465535813,13.075008981382439,,,
1024,2,ot,direct,0.2772875018417835,0.042269185185432434,899,0.09836303877215992,-29.391419284468366,9.338199968419618,7.2385527806603704,704.458835919874,,,
1024,2,ot,mixture,0.2772875018417835,0.6874304413795471,899,0.9306365219619441,-2.172449474737827,7.927545045550772,7.61313187448602,7.978673138759994,,,
1024,2,sb,direct,0.11445121467113495,0.041156839579343796,899,0.09556407513689995,-29.495057943002532,9.398083743938143,6.987349027346646,-1875.159278120981,1.566431777901856,0.0008868734585121274,0.9999868170836401
1024,2,sb,mixture,0.11445121467113495,0.6918798089027405,899,0.9237535543224906,-2.3840741697487497,7.938224569749406,7.566092896231728,7.941231488134979,1.566431777901856,0.0008868734585121274,0.9999868170836401
1024,2,ot-sum,direct,0.18838780000805855,0.10344827175140381,899,0.19531177210776854,-26.327530581906057,12.128541278008628,8.491262318559539,441.40766475488255,,,
1024,2,ot-sum,mixture,0.18838780000805855,0.6785316467285156,899,0.9354857644451244,-2.0703181117209497,7.894980241457673,7.600171376900641,8.197189204487222,,,
1024,3,random,direct,0.0,0.04664391279220581,879,0.09231320855462052,-30.07254941851341,9.258154841546618,6.70901115423136,-114.54653515322653,,,
1024,3,random,mixture,0.0,0.7087599039077759,879,1.0211614780717453,0.68299306537511,12.578914671183167,12.446429660534134,12.470050499367902,,,
1024,3,ot,direct,0.27578647434711456,0.0568828210234642,879,0.10740974164314865,-29.537502272544053,9.626963626364095,6.971926226096298,-1175.7244113976662,,,
1024,3,ot,mixture,0.27578647434711456,0.7019339799880981,879,0.9613763227818808,-1.3023713993944812,7.442883617624413,7.28208953314485,7.96945767018508,,,
1024,3,sb,direct,0.09963065758347511,0.055745162069797516,879,0.10295450034281574,-29.767574278839074,9.651007176210458,6.973803882867518,-110.08117831819075,1.635895514754625,0.0009259823127649724,1.0000269497814087
