model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,step,mse_sig,mse_in,mse_out,n_jets,jes,bias,jer,jer_iqr,jer_cal,jet_in_region,truth
ext_otcfm1_s1,seeded10_zero_thr0.7,0.039669330978393556,0.2553657952425797,0.03206852271480212,47.58058505859375,2270.0,0.035836994616190596,0.2336243018465848,0.028867277017364475,17542.0,0.7295077090256039,-8.599981025501826,3.4398614128330207,3.345142743426663,3.624178755600703,0.9998859879147189,val
ext_otcfm1_s2,coarse,0.1536710932413737,0.27447981311539077,0.14941398131264866,221.687937109375,6820.0,0.06974966761271159,0.20764128952164482,0.0648905814706792,17542.0,0.9417805557456457,-1.9415091299681773,3.434630302905811,3.323911295014898,3.696157287353123,,val
ext_otcfm1_s2,converged,0.05065112419128418,0.3097857722160799,0.04151962139961879,61.6033328125,6820.0,0.03441768118540446,0.46295526240117646,0.01931668269046315,17542.0,0.6962066494890264,-9.847340774052283,3.5162901002875837,3.4198043433006293,4.121085766311992,,val
ext_otcfm1_s2,coarse_thr0.5,0.06421057929992675,0.2532932061074428,0.05754760184419372,85.38430625,6820.0,0.053233223470052084,0.22141625964491785,0.04730671438254042,17542.0,0.787421568603502,-6.779047318269257,3.42418575720814,3.3271653816556825,3.6204016744538245,,val
ext_otcfm1_s2,seeded8_zero_thr0.5,0.05240936279296875,0.2532962991992867,0.04533041982225677,67.2574759765625,6820.0,0.04387185503641764,0.22142902938867595,0.03761501693263145,17542.0,0.7874010106761109,-6.77927544094956,3.4243198580007848,3.3271653816556825,3.620181903882085,0.9998859879147189,val
ext_otcfm1_s2,seeded10_zero_thr0.7,0.038097095171610515,0.2557080133552235,0.030428825055355938,45.14773916015625,6820.0,0.03391148789723714,0.23507634596788132,0.026822751514415342,17542.0,0.7249992637304545,-8.738669505210114,3.454555928420797,3.338538071594917,3.633282827495265,0.9998859879147189,val
ext_otcfm1_bias1_s0,coarse,0.14421001942952474,0.2786903348186749,0.1394711423260608,206.935586328125,6790.0,0.0575496883392334,0.21946276902128956,0.05184412400073963,17542.0,0.876679186990598,-4.011257875497088,3.469251798714102,3.3807574244584746,3.7847423755504814,,val
ext_otcfm1_bias1_s0,converged,0.050952371342976886,0.3084510685309912,0.04187851747441298,62.13583271484375,6790.0,0.03407382640838623,0.45564650490782527,0.019218260978997315,17542.0,0.6983548794944271,-9.79813701423377,3.5654204073065743,3.4655402376529816,4.215249362774429,,val
ext_otcfm1_bias1_s0,coarse_thr0.5,0.052356339899698894,0.2563497192451338,0.04516792993685147,67.016387109375,6790.0,0.04249740111033122,0.2361432651331984,0.03567362141515832,17542.0,0.745927445310256,-8.100858027246494,3.4477690478539738,3.345510003476606,3.6871556425136545,,val
ext_otcfm1_bias1_s0,seeded8_zero_thr0.5,0.03818135197957357,0.2563597199619242,0.03049308528822629,45.24308310546875,6790.0,0.03119629014333089,0.2361779816336988,0.023973054354201273,17542.0,0.7458930318784331,-8.10127123755069,3.448039148895127,3.3457920761617403,3.686835099862229,0.9998289818720785,val
ext_otcfm1_bias1_s0,seeded10_zero_thr0.7,0.03282229696909587,0.26104142592475377,0.024780209918352645,36.76679765625,6790.0,0.028264009284973145,0.2526393856078108,0.020357369935564747,17542.0,0.6895130600013625,-9.868577542075029,3.5264313923517108,3.4448077185583434,3.747720295428182,0.9996009577015164,val
ext_pieces_s0,coarse,0.03673507633209228,0.22146314445465115,0.03022554627604731,44.84613115234375,13940.0,0.024412320200602213,0.17996317321143981,0.01893094970392206,17542.0,0.8882956735257369,-3.657600278417274,3.8609592434374744,3.5554653984957754,4.2490963838392775,,val
ext_pieces_s0,converged,0.03284162267049154,0.22779201754954564,0.025971873780721973,38.53488857421875,13940.0,0.026233724021911622,0.21145121006982798,0.019706947984752678,17542.0,0.8804209797676099,-3.9613149695624212,4.064228549626262,3.6934215638971577,4.644799927683478,,val
ext_pieces_s0,coarse_thr0.5,0.02975221824645996,0.23158284021679257,0.0226400209676856,33.59136474609375,13940.0,0.02660292854309082,0.20915974359493897,0.020169910315856236,17542.0,0.7660890965139917,-7.476271710799747,3.8437349820205515,3.5971930682703332,4.13634869823825,,val
ext_pieces_s0,seeded8_zero_thr0.5,0.029202195612589518,0.23168274185348345,0.022067095914401737,32.74130659179688,13940.0,0.02655624802907308,0.20991890946083852,0.02009483271583399,17542.0,0.7659373716963247,-7.479097638294914,3.8520585675383723,3.599280688919961,4.142468033934754,0.9987458670619086,val
