model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,n_jets,jes,bias,jer,jer_iqr,jer_cal,step,jet_in_region,truth
ext_otcfm_s1,coarse,0.15076389439900717,0.272629129038532,0.1464695517758737,217.319239453125,17860.0,17542.0,0.9292139009246563,-2.3428835501598533,3.409598712047147,3.2889636204453025,3.6810694463627893,,val
ext_otcfm_s1,converged,0.05423793856302897,0.3067343810778508,0.04534035712773464,67.2722201171875,17860.0,17542.0,0.7014946610087376,-9.698218849553117,3.4733172969136743,3.3808986375383134,4.083329770647778,,val
ext_otcfm_s1,coarse_thr0.5,0.06232682418823242,0.2528351819637541,0.05561360579523583,82.514805078125,17860.0,17542.0,0.7755712236642125,-7.156153644154681,3.409171062303414,3.313886050032721,3.6132266722705517,,val
ext_otcfm_s1,seeded12_zero,0.05682233810424805,0.2726397269872771,0.04921726857930339,73.02445625,17860.0,17542.0,0.92889706475814,-2.3468748324682034,3.4158581117834528,3.2918568095779137,3.6825606971685647,0.9996009577015164,val
ext_otcfm_s1,seeded12_zero_thr0.5,0.03742289199829102,0.25286275783012463,0.02983112588090889,44.2609232421875,17860.0,17542.0,0.7754182037702071,-7.1580768640005195,3.4108230276676275,3.315232081091607,3.612237341671567,0.9996009577015164,val
ext_otcfm_s1,seeded12_zero_thr0.7,0.03429069569905599,0.25608042180000373,0.02647517033023382,39.28163779296875,17860.0,17542.0,0.7143682912740895,-9.075086921640356,3.4538058719345948,3.352156562041671,3.637539585992614,0.9996009577015164,val
ext_otcfm_s2,coarse,0.15292485376993814,0.2755711688269597,0.14860298792663273,220.484653125,17820.0,17542.0,0.9320517931830076,-2.2650433819400804,3.385816378465245,3.2668099569514384,3.680402208447393,,val
ext_otcfm_s2,converged,0.053932605361938474,0.3077514157320449,0.044988425262473555,66.750053125,17820.0,17542.0,0.702601784489885,-9.655900136596216,3.465895456406746,3.373257224872609,4.063618267841693,,val
ext_otcfm_s2,coarse_thr0.5,0.06354437026977539,0.255050141110735,0.0567960049532975,84.2691498046875,17820.0,17542.0,0.7753395922942752,-7.174336557879767,3.3877508165200725,3.2961363258672876,3.616002815575155,,val
ext_otcfm_s2,seeded12_zero,0.05816274159749349,0.27557823241396484,0.05050135655685389,74.9296783203125,17820.0,17542.0,0.9317849967490117,-2.2681917832713485,3.390437548746793,3.269252112567469,3.6812667336115066,0.9996579637441568,val
ext_otcfm_s2,seeded12_zero_thr0.5,0.03802928384145101,0.2550706823411412,0.030381082877821677,45.0769033203125,17820.0,17542.0,0.7752100048244871,-7.175839489942374,3.3886386504869104,3.297780335965733,3.6147462423022105,0.9996579637441568,val
ext_otcfm_s2,seeded12_zero_thr0.7,0.034674984296162926,0.25802058887448037,0.026804632024587386,39.7704654296875,17820.0,17542.0,0.7129485974404242,-9.13108567076498,3.433964164128958,3.340441532007759,3.644056580999992,0.9996579637441568,val
