model,observable,jewel,val,delta,delta_over_truth
regress_l1,zg,0.250599881386097,0.26619067968439,-0.015590798298292963,1.6349968816855474
regress_l1,zlead,0.36021819710731506,0.314208447933197,0.04600974917411804,0.8140263016223781
"true pieces, m - b",core,0.45583850145339966,0.4457135796546936,0.010124921798706055,0.5354380844159427
"true pieces, m - b",et,23.547985076904297,23.630874633789062,-0.08288955688476562,0.05075612114756626
"true pieces, m - b",girth,0.17979750037193298,0.18236398696899414,-0.0025664865970611572,0.5060883158401993
"true pieces, m - b",mass,3.380230665206909,3.622950553894043,-0.2427198886871338,0.35272002710776373
"true pieces, m - b",n1,4.6974897384643555,5.186506748199463,-0.4890170097351074,0.4862741769603425
"true pieces, m - b",ptd,0.4569348096847534,0.42134925723075867,0.03558555245399475,0.7219498067630513
"true pieces, m - b",rg,0.21063341663275362,0.22763891650373524,-0.017005499870981627,0.6353181207836972
"true pieces, m - b",zg,0.24663167142891995,0.26209685430492835,-0.015465182876008399,1.6218236740153946
"true pieces, m - b",zlead,0.3733266294002533,0.33070147037506104,0.04262515902519226,0.7541445276311509
"true pieces, signal panel",core,0.4631512463092804,0.45065948367118835,0.012491762638092041,0.6606041598043186
"true pieces, signal panel",et,24.266695022583008,23.788803100585938,0.4778919219970703,-0.2926296291105474
"true pieces, signal panel",girth,0.17803789675235748,0.18113456666469574,-0.003096669912338257,0.610635747111576
"true pieces, signal panel",mass,3.3390629291534424,3.5519962310791016,-0.21293330192565918,0.3094342224430387
"true pieces, signal panel",n1,4.577375411987305,5.059033393859863,-0.4816579818725586,0.4789564249274887
"true pieces, signal panel",ptd,0.4812871217727661,0.4388677477836609,0.042419373989105225,0.860592480446549
"true pieces, signal panel",rg,0.20653560995421164,0.22530900650202532,-0.01877339654781368,0.7013659760649927
"true pieces, signal panel",zg,0.24440763478876573,0.25879783245561844,-0.014390197666852705,1.5090906739983214
"true pieces, signal panel",zlead,0.4050733745098114,0.35441577434539795,0.05065760016441345,0.8962582854961437
truth,core,0.43379732966423035,0.4148877263069153,0.018909603357315063,1.0
truth,et,24.97968864440918,26.612783432006836,-1.6330947875976562,1.0
truth,girth,0.1860182285308838,0.1910894513130188,-0.00507122278213501,1.0
truth,mass,4.111024856567383,4.7991623878479,-0.6881375312805176,1.0
truth,n1,5.990467071533203,6.996107578277588,-1.0056405067443848,1.0
truth,ptd,0.41699209809303284,0.3677012026309967,0.04929089546203613,1.0
truth,rg,0.2540173917649652,0.28078429690219703,-0.026766905137231845,1.0
truth,zg,0.22643953673321637,0.23597521137145797,-0.009535674638241592,1.0
truth,zlead,0.3271385431289673,0.2706173360347748,0.056521207094192505,1.0
"truth, towers > 0.5 GeV",core,0.4620605409145355,0.4436057209968567,0.018454819917678833,0.9759496044923491
