truth,model,readout,name,reference,observable,bias,rmse,rel_bias,rel_rmse,rel_res,corr,w1_sigma,within_1sd,sd_err_corr
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,zg,-0.0063570131203218245,0.12413649462873806,-0.05624426769682131,1.0983092377966182,1.0968681617134473,0.3976908692754325,0.05626383471857962,,
jewel,OT-CFM-uvcgan-s0,thr0.5,"OT-CFM-uvcgan-s0, thr0.5",thr,rg,0.005331995727790221,0.10233085978996576,0.04552510985269113,0.873711058877617,0.8725241995371515,0.6172167990483126,0.055035739669624266,,
val,UVCGAN-S,image,UVCGAN-S,full,et,-2.0052850246429443,3.9570536613464355,-0.3115604817867279,0.6148061752319336,0.5300157070159912,0.8715348701846604,0.31168145614465875,,
val,UVCGAN-S,image,UVCGAN-S,full,mass,-0.8955075740814209,1.4305317401885986,-0.6648365259170532,1.0620454549789429,0.828210711479187,0.661007736456907,0.6648365560480377,,
val,UVCGAN-S,image,UVCGAN-S,full,girth,-0.00424220459535718,0.012920321896672249,-0.09311765432357788,0.2836049199104309,0.2678821384906769,0.9669387178981924,0.09802630243795431,,
val,UVCGAN-S,image,UVCGAN-S,full,ptd,0.01963013969361782,0.04238869249820709,0.18914511799812317,0.4084338843822479,0.36199772357940674,0.9397049090497969,0.18914670055790567,,
val,UVCGAN-S,image,UVCGAN-S,full,core,0.013357073999941349,0.056386712938547134,0.055701564997434616,0.23514343798160553,0.22845080494880676,0.9762950577713226,0.06437482908194728,,
val,UVCGAN-S,image,UVCGAN-S,full,zlead,0.017308397218585014,0.04278787970542908,0.1295224279165268,0.32019081711769104,0.29282432794570923,0.9605514986855517,0.1295232147911674,,
val,UVCGAN-S,image,UVCGAN-S,full,n1,-0.5125184059143066,1.902042031288147,-0.2317523956298828,0.860072135925293,0.8282601237297058,0.652862910706579,0.23185484664722564,,
val,UVCGAN-S,image,UVCGAN-S,full,zg,0.009827625960114206,0.12338540486103595,0.08746190375640644,1.0980802941319678,1.0945915894763005,0.4088182570466385,0.0874945086214293,,
val,UVCGAN-S,image,UVCGAN-S,full,rg,-0.02319990952565907,0.08881552622843056,-0.23331569124678694,0.8931955477030997,0.8621844783192714,0.5970941693950685,0.23331569124678703,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,et,-1.453346610069275,3.637338399887085,-0.21948590874671936,0.5493146181106567,0.5035598278045654,0.8824598876969993,0.21966392119783998,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,mass,-0.638764500617981,1.2881137132644653,-0.46156641840934753,0.9307813048362732,0.8082761168479919,0.6607637833716775,0.46157145853107695,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,girth,-0.002912864089012146,0.014483184553682804,-0.058451756834983826,0.29063063859939575,0.28469204902648926,0.9612158890822614,0.06276569482407825,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,ptd,0.01607477478682995,0.047948356717824936,0.14832192659378052,0.4424194097518921,0.41681599617004395,0.9185666591551421,0.14938919906225165,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,core,0.0085136154666543,0.06270194053649902,0.032189130783081055,0.23706978559494019,0.23487432301044464,0.9738559021752285,0.041010160594941836,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,zlead,0.014786411076784134,0.04962354898452759,0.1037331372499466,0.34813088178634644,0.33231696486473083,0.9479392285089907,0.10405021402166008,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,n1,-0.5125184059143066,1.902042031288147,-0.2317523956298828,0.860072135925293,0.8282601237297058,0.652862910706579,0.23185484664722564,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,zg,0.006753278446352786,0.11968275865584815,0.05891100455173647,1.0440309245277533,1.042367528711913,0.4571842021371672,0.05893306418964063,,
val,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,rg,-0.01654784506406245,0.08824789578513553,-0.15902493151898103,0.8480630275178646,0.8330197895597378,0.62309656687876,0.15902493151898098,,
jewel,UVCGAN-S,image,UVCGAN-S,full,et,-1.2007938623428345,4.104465961456299,-0.12472207844257355,0.42631590366363525,0.40766364336013794,0.9248480279260963,0.12514230704990095,,
jewel,UVCGAN-S,image,UVCGAN-S,full,mass,-0.6212356686592102,1.3235836029052734,-0.470656156539917,1.0027639865875244,0.885448157787323,0.6414755826466347,0.4707870587232715,,
jewel,UVCGAN-S,image,UVCGAN-S,full,girth,-0.0025682614650577307,0.017156606540083885,-0.05050358921289444,0.3373761773109436,0.33357471227645874,0.9480100743288791,0.06850501755091426,,
jewel,UVCGAN-S,image,UVCGAN-S,full,ptd,0.018252413719892502,0.06970974057912827,0.15646754205226898,0.5975818634033203,0.5767338871955872,0.8447401025924983,0.15662056411249403,,
jewel,UVCGAN-S,image,UVCGAN-S,full,core,0.007972586899995804,0.0726577490568161,0.03001270815730095,0.27351921796798706,0.2718676030635834,0.9649583596026311,0.04216480730300529,,
jewel,UVCGAN-S,image,UVCGAN-S,full,zlead,0.0168796144425869,0.07648767530918121,0.11346068978309631,0.5141316652297974,0.5014559626579285,0.8821405558118633,0.1135432223386308,,
jewel,UVCGAN-S,image,UVCGAN-S,full,n1,-0.26920342445373535,1.846882939338684,-0.1274784356355667,0.8745719194412231,0.8652313351631165,0.6651191235230958,0.12848882836705192,,
jewel,UVCGAN-S,image,UVCGAN-S,full,zg,0.007834292819655872,0.1282485633082197,0.0709702116632022,1.1617931436836115,1.1596234465406128,0.33929226380906313,0.07125340383826521,,
jewel,UVCGAN-S,image,UVCGAN-S,full,rg,-0.020557195873711243,0.10180135088946299,-0.1823194937293899,0.9028649077022253,0.8842650302745252,0.5638807703663953,0.18280261038477938,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,et,-0.7363905310630798,3.722609519958496,-0.07624037563800812,0.38541117310523987,0.37779515981674194,0.9347806015233016,0.07701232641201981,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,mass,-0.3802010416984558,1.2036962509155273,-0.29186710715293884,0.9240357279777527,0.8767301440238953,0.6314173704841196,0.2919737115273966,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,girth,-0.004021049942821264,0.032308291643857956,-0.0718347504734993,0.5771771669387817,0.572689414024353,0.8512207314444348,0.08463227745985547,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,ptd,0.01123214140534401,0.09898929297924042,0.09391902387142181,0.8277119398117065,0.8223663568496704,0.7425403497021476,0.1602702111260913,,
jewel,UVCGAN-S,thr0.5,"UVCGAN-S, thr0.5",thr,core,-4.173014895059168e-05,0.09538929909467697,-0.00014155662211123854,0.32357871532440186,0.32357868552207947,0.9498049284925213,0.02897366337984143,,
