family,arm,seed,run,net,hours_trained,final_jer_cal,final_l1_sig,best_jer_cal,best_hours,best_step,best_l1_sig,best_mse_sig,best_jes,jewel_jer_cal,jewel_l1_sig,ms_per_event,h_T_useful,h_T_useful_interp,h_T_acc,h_T_acc_interp,h_T_match,h_T_match_interp,train_eval_time,train_load_time,train_startup_time,train_end_to_end_time,train_steps_per_s,train_samples_per_s,train_coupling_frac,train_peak_mem_gb,train_n_params
flow,otcfm1 (m - b),0,ext_otcfm1_s0,ema,2.0003620547842647,3.704311558551416,0.1517620669047037,3.684915859857175,0.7504647917010718,6850,0.1542838760375976,0.0703883148193359,0.943910359941036,3.577595472626754,0.1534922083536783,2.0201825201511383,0.250700436455922,0.250700436455922,0.7504647917010718,0.508024205504832,,,34.08477856218815,1.6975570395588875,2.4356611743569374,7257.021492488682,2.5384293636410766,649.8379170921156,0.02031215837126217,35.637465476989746,21556897.0
flow,otcfm1 (m - b),0,ext_otcfm1_s0,raw,2.0003620547842647,3.7471117115982615,0.1584440854390462,3.7471117115982615,2.0003620547842647,18280,0.1584440854390462,0.073281673558553,0.9457202635378568,,,2.0201825201511383,,2.0003620547842647,,,,,34.08477856218815,1.6975570395588875,2.4356611743569374,7257.021492488682,2.5384293636410766,649.8379170921156,0.02031215837126217,35.637465476989746,21556897.0
flow,otcfm1 (m - b),1,ext_otcfm1_s1,ema,2.0009603907292086,3.726403587340143,0.1529965555826823,3.695753780646604,0.2509197120471961,2270,0.1573673149108886,0.0731511367797851,0.9429485425225704,3.6097618475654665,0.1566692749023437,2.0201825201511383,0.2509197120471961,0.2509197120471961,,0.2509197120471961,,,34.1508524864912,2.0941126123070717,2.896466940641403,7257.70152438432,2.526564533200561,646.8005204993436,0.020485908469016753,35.637465476989746,21556897.0
flow,otcfm1 (m - b),1,ext_otcfm1_s1,raw,2.0009603907292086,3.71928894327669,0.1488962905883789,3.71928894327669,2.0009603907292086,18200,0.1488962905883789,0.0661612747192382,0.9093973137553046,,,2.0201825201511383,,2.0009603907292086,,,,,34.1508524864912,2.0941126123070717,2.896466940641403,7257.70152438432,2.526564533200561,646.8005204993436,0.020485908469016753,35.637465476989746,21556897.0
flow,otcfm1 (m - b),2,ext_otcfm1_s2,ema,2.0002209692406985,3.703959994451437,0.1523647628784179,3.696157287353123,0.7504575539877018,6820,0.1536710932413737,0.0697496676127115,0.9417805557456456,3.5843980695568702,0.152679416402181,2.0201825201511383,0.2504729453577763,0.2504729453577763,,0.6765295075136855,,,34.129738569259644,61.55937281250954,62.37150100618601,7314.049876764417,2.526109792607492,646.684106907518,0.01882235970550561,35.637465476989746,21556897.0
flow,otcfm1 (m - b),2,ext_otcfm1_s2,raw,2.0002209692406985,3.7163999351592105,0.1484645380655924,3.7163999351592105,2.0002209692406985,18190,0.1484645380655924,0.0652702568054199,0.8946478739732984,,,2.0201825201511383,,2.0002209692406985,,,,,34.129738569259644,61.55937281250954,62.37150100618601,7314.049876764417,2.526109792607492,646.684106907518,0.01882235970550561,35.637465476989746,21556897.0
flow,otcfm (m - b),1,ext_otcfm_s1,ema,2.0008253005912735,3.681176254309083,0.150757054901123,3.681176254309083,2.0008253005912735,17860,0.150757054901123,0.0675110179901123,0.9292174319919606,3.546301440514726,0.1499699913024902,2.0190250128507614,0.5009293129253719,0.27671481079231897,1.250621574288234,0.723783705177591,,,44.16432784125209,11.06011388078332,19.544341389089823,3664.0896692723036,2.479532375787646,634.7602882016374,0.02122876995576202,43.507415771484375,21558626.0
flow,otcfm (m - b),1,ext_otcfm_s1,raw,2.0008253005912735,3.7492319532601575,0.1486414357503255,3.7492319532601575,2.0008253005912735,17860,0.1486414357503255,,0.8804057488472886,,,2.0190250128507614,,2.0008253005912735,,,,,44.16432784125209,11.06011388078332,19.544341389089823,3664.0896692723036,2.479532375787646,634.7602882016374,0.02122876995576202,43.507415771484375,21558626.0
flow,otcfm (m - b),2,ext_otcfm_s2,ema,2.0005617747404094,3.680315551434663,0.1529178654988607,3.680315551434663,2.0005617747404094,17820,0.1529178654988607,0.0690615622202555,0.9320500715164932,3.5620260732438083,0.1522349810282389,2.0190250128507614,0.5003650764727758,0.2938937766176031,0.7507958340593096,0.6852743746862026,,,44.60183583572507,9.336529616266489,18.0084230825305,3660.6767522878945,2.4743049989757533,633.4220797377928,0.02164364865198192,43.507415771484375,21558626.0
flow,otcfm (m - b),2,ext_otcfm_s2,raw,2.0005617747404094,3.781465590899229,0.158328884379069,3.781465590899229,2.0005617747404094,17820,0.158328884379069,,0.9366281633224528,,,2.0190250128507614,,2.0005617747404094,,,,,44.60183583572507,9.336529616266489,18.0084230825305,3660.6767522878945,2.4743049989757533,633.4220797377928,0.02164364865198192,43.507415771484375,21558626.0
flow,otcfm_pieces,0,ext_pieces_s0,ema,2.0004591378817955,6.590943510353973,0.0354226072947184,5.263693512161527,1.500498126991507,13940,0.0327106804529825,0.0314822839736938,0.8886582937825884,5.58288252162066,0.0279760117212931,8.07461117208004,,,,,,,65.8078470826149,21.953341595828533,22.74269200116396,7313.823657929897,2.5813518462350196,660.826072636165,0.005510231369499097,41.374056339263916,21558626.0
flow,otcfm_pieces,0,ext_pieces_s0,raw,2.0004591378817955,9.6099175017531,0.04815764503479,9.6099175017531,2.0004591378817955,18590,0.04815764503479,0.3012399551391601,1.3845910482112929,,,8.07461117208004,,,,,,,65.8078470826149,21.953341595828533,22.74269200116396,7313.823657929897,2.5813518462350196,660.826072636165,0.005510231369499097,41.374056339263916,21558626.0
flow,otcfm_pieces,1,ext_pieces_s1,ema,2.0010803698313735,5.522422681798611,0.0340214813232421,5.0790945884466,1.750100247973783,16100,0.0326825118382771,0.0309183917999267,0.9188809522909612,5.23984873730767,0.0277172273635864,8.07461117208004,,,,,,,66.44693546742201,72.82079476118088,73.59453748911619,7358.879843972623,2.555563967338216,654.2243756385833,0.005445247158201129,41.374056339263916,21558626.0
flow,otcfm_pieces,1,ext_pieces_s1,raw,2.0010803698313735,5.910057790400867,0.0389267784754435,5.910057790400867,2.0010803698313735,18410,0.0389267784754435,0.0534762083689371,0.8788528240444017,,,8.07461117208004,,,,,,,66.44693546742201,72.82079476118088,73.59453748911619,7358.879843972623,2.555563967338216,654.2243756385833,0.005445247158201129,41.374056339263916,21558626.0
flow,otcfm_pieces,2,ext_pieces_s2,ema,2.000966430612736,5.109661443875894,0.0329752630233764,5.109661443875894,2.000966430612736,18560,0.0329752630233764,0.031906771659851,0.9369926522641906,4.910062328054755,0.0273850390752156,8.07461117208004,,,,,,,66.0264171436429,15.62428317219019,16.434151105582714,7308.024443514645,2.5765327577118926,659.5923859742445,0.005955190150226962,41.374056339263916,21558626.0
flow,otcfm_pieces,2,ext_pieces_s2,raw,2.000966430612736,6.922365198226222,0.0386686994552612,6.922365198226222,2.000966430612736,18560,0.0386686994552612,0.0602964571634928,0.8690015119052045,,,8.07461117208004,,,,,,,66.0264171436429,15.62428317219019,16.434151105582714,7308.024443514645,2.5765327577118926,659.5923859742445,0.005955190150226962,41.374056339263916,21558626.0
flow,regress_l1,0,ext_regress_l1_s0,ema,1.0001491724140943,3.7920266693259626,0.0264429794947306,3.7920266693259626,1.0001491724140943,9200,0.0264429794947306,0.0209630846659342,0.8618370096501557,4.310705736637432,0.0190967822392781,0.50495745241642,0.25091464209266834,0.1913343021726655,,,,,14.530129499733448,13.977175384759903,14.512650981545448,3653.269511960447,2.5551743940227674,654.1246448698284,0.0,41.36794424057007,21557762.0
flow,regress_l1,0,ext_regress_l1_s0,raw,1.0001491724140943,3.891063691181053,0.0265791856129964,3.891063691181053,1.0001491724140943,9200,0.0265791856129964,,0.873442355310718,,,0.50495745241642,,1.0001491724140943,,,,,14.530129499733448,13.977175384759903,14.512650981545448,3653.269511960447,2.5551743940227674,654.1246448698284,0.0,41.36794424057007,21557762.0
flow,regress_l1,1,ext_regress_l1_s1,ema,1.0000900832191109,3.812831778270394,0.0264403678894042,3.812831778270394,1.0000900832191109,9210,0.0264403678894042,0.020969795513153,0.8630014822118586,4.347348981604318,0.0191164299329121,0.50495745241642,0.25054612326332265,0.1984002734711943,,,,,14.300909698009491,25.53798496723175,26.320391930639744,3663.0934261232615,2.558102891190078,654.87434014466,0.0,41.36794424057007,21557762.0
flow,regress_l1,1,ext_regress_l1_s1,raw,1.0000900832191109,3.789869421825693,0.0265812548955281,3.789869421825693,1.0000900832191109,9210,0.0265812548955281,,0.8334526862761178,,,0.50495745241642,,1.0000900832191109,,,,,14.300909698009491,25.53798496723175,26.320391930639744,3663.0934261232615,2.558102891190078,654.87434014466,0.0,41.36794424057007,21557762.0
flow,regress_l1,2,ext_regress_l1_s2,ema,1.0007919132585328,3.814868585798074,0.0264492586771647,3.804954125407705,0.7509919545592533,6970,0.0264812417984008,0.0210357515970865,0.8629819103985208,4.28671871707549,0.0191700947761535,0.50495745241642,0.25037740288509264,0.19799565340305908,,,,,14.345789417624474,240.10487911850214,240.65122770518064,3879.981480590999,2.5757380166918526,659.3889322731143,0.0,41.36794424057007,21557762.0
flow,regress_l1,2,ext_regress_l1_s2,raw,1.0007919132585328,3.879586948497113,0.0266294886271158,3.879586948497113,1.0007919132585328,9280,0.0266294886271158,,0.8369399386016589,,,0.50495745241642,,1.0007919132585328,,,,,14.345789417624474,240.10487911850214,240.65122770518064,3879.981480590999,2.5757380166918526,659.3889322731143,0.0,41.36794424057007,21557762.0
flow,regress,0,ext_regress_s0,ema,1.0009100973626806,4.11812672854647,0.031717651494344,4.116235984929953,0.9173430281774037,8440,0.0317211992899576,0.0213097916603088,0.8008055591224912,4.167393318132809,0.0250050830205281,0.504308745265007,,,,,,,,,,,,,,,
flow,regress,1,ext_regress_s1,ema,0.25006107287481427,4.305698386064078,0.0318816690444946,4.305698386064078,0.25006107287481427,2270,0.0318816690444946,,0.8053782476721493,,,0.504308745265007,,,,,,,,,,,,,,,
flow,regress,2,ext_regress_s2,ema,0.2508686836519175,4.266349063114284,0.0318458540598551,4.266349063114284,0.2508686836519175,2300,0.0318458540598551,,0.8062283172243525,,,0.504308745265007,,,,,,,,,,,,,,,
flow,otcfm (m - b),0,pilot_otcfm_s0,ema,3.000159271819931,3.6652369121944894,0.1495663297017415,3.6652369121944894,3.000159271819931,26470,0.1495663297017415,0.0672883494059244,0.9283675116698652,3.5492857641239084,0.1492015068054199,2.0190250128507614,0.33437728718026644,0.2938984775017528,1.2506645654121207,1.2084176030568055,,,117.58116545900702,8.66816945374012,15.936820782721043,9766.518921930343,2.4507958116895234,627.403727792518,0.02095295333938191,43.507415771484375,21558626.0
flow,otcfm (m - b),0,pilot_otcfm_s0,raw,3.000159271819931,3.736464605587096,0.1508185348510742,3.736464605587096,3.000159271819931,26470,0.1508185348510742,,0.9400581716141484,,,2.0190250128507614,,3.000159271819931,,,,,117.58116545900702,8.66816945374012,15.936820782721043,9766.518921930343,2.4507958116895234,627.403727792518,0.02095295333938191,43.507415771484375,21558626.0
flow,sbcfm (m - b),0,pilot_sbcfm_s0,ema,0.3340655326615605,6.689869449182502,0.0602269313812255,6.689869449182502,0.3340655326615605,2750,0.0602269313812255,,0.4771812402978169,,,,,,,,,,33.948928855359554,4.167448829859495,4.70110035687685,1274.5307539999485,2.286643829439236,585.3808203364445,0.10811550244006866,43.18680143356323,21558626.0
